word	positive	negative	anger	anticipation	disgust	fear	joy	sadness	surprise	trust
evacuiret	0	1	0	0	0	1	0	0	0	0
fuert	0	0	0	0	0	0	0	0	0	1
stohn	1	0	0	0	0	0	0	0	0	0
allerstattlichsten	1	0	0	0	0	0	0	0	0	0
Apostolisches	0	0	0	0	0	0	0	0	0	1
Euangelion	1	0	0	0	0	0	0	0	0	1
Komprimieren	0	0	1	0	0	0	0	0	0	0
zufuegen	0	1	1	0	0	1	0	1	0	0
Beher	1	1	1	0	0	1	0	1	0	0
hefftigeren	0	1	1	0	1	1	0	0	1	0
allzuheüter	1	0	0	0	0	0	1	0	1	0
melancholischsten	0	1	0	0	0	0	0	1	0	0
Papagoy	0	1	0	0	1	0	0	0	0	0
brüfen	0	1	0	1	0	0	0	0	0	0
Ἠϊ	1	0	0	0	0	0	0	0	0	0
vmbkommene	0	1	0	0	0	0	0	1	0	0
Wohlthäther	1	0	0	0	0	0	0	0	0	1
liefre	1	0	0	0	0	0	0	0	0	1
überträf '	1	0	0	1	0	0	1	0	1	1
vnüberwindtligsten	0	1	0	0	0	1	0	1	0	0
hefftigerer	0	1	1	0	1	1	0	0	1	0
Anwäldte	0	1	1	0	1	1	0	0	0	0
verbren	0	1	0	0	1	0	0	0	0	0
fülleten	0	0	0	0	0	0	0	0	0	1
vnfruchtbahren	0	1	0	0	0	0	0	1	0	0
Befreyungs	1	0	0	1	0	0	1	0	0	1
chint	1	0	0	1	0	0	1	0	0	0
glaubwürdig	1	0	0	0	0	0	0	0	0	1
Führunge	1	0	0	0	0	0	0	0	0	1
nachfrag	0	1	1	0	0	0	0	0	0	0
unterbroch'ne	0	1	0	0	0	0	0	1	0	0
auswurff	0	1	0	0	0	0	0	0	0	0
Horen	0	1	0	0	0	1	0	0	0	0
bessten	1	0	0	1	0	0	1	0	1	1
besstem	1	0	0	1	0	0	1	0	1	1
besstes	1	0	0	1	0	0	1	0	1	1
besster	1	0	0	1	0	0	1	0	1	1
Führungs	1	0	0	0	0	0	0	0	0	1
Befreyunge	1	0	0	1	0	0	1	0	0	1
tralles	1	0	0	0	0	0	0	0	0	0
Würm	0	1	0	1	0	0	0	0	1	0
verstarbest	0	1	0	0	0	0	0	1	0	0
correctheit	0	0	0	0	0	0	0	0	0	1
Hymmel	1	0	0	0	0	0	1	0	0	1
Gespieen	0	0	0	0	1	0	0	0	0	0
verfliehe	0	1	0	0	0	1	0	0	0	0
Geschäncke	1	0	0	1	0	0	1	0	1	1
ueben	1	0	0	0	0	0	1	0	1	1
Farthen	1	0	0	1	0	1	1	0	0	0
vertheydigt	1	0	0	0	0	0	0	0	0	1
mühesamblich	0	1	0	0	0	0	0	0	0	0
Prostituierte	0	1	0	0	1	0	0	0	0	0
nigger	0	1	0	0	0	0	0	0	0	0
controverse	0	1	0	0	0	0	0	0	0	0
vorwärths	1	0	0	0	0	0	0	0	0	0
Verhindernüßen	0	1	1	0	0	1	0	1	0	0
Juaristen	0	0	0	0	0	0	0	0	0	1
Mangel	0	1	1	0	1	1	0	1	0	0
einweyhet	0	1	0	0	0	0	0	0	0	1
Antragssteller	0	0	1	0	1	0	0	0	0	0
Betrohungen	0	1	1	0	0	1	0	0	0	0
Bürgermeysteren	1	0	0	0	0	0	0	0	0	0
verhimmlischt	1	0	0	1	0	0	1	0	0	1
liegts	0	1	1	0	1	0	0	0	0	0
Flanschen	0	0	0	0	0	0	0	0	0	1
behalltet	0	0	0	0	0	0	0	0	0	1
schlinglen	0	1	1	0	1	1	0	0	0	0
stern	1	0	0	1	0	0	1	0	0	1
Nachwürkung	0	1	1	0	1	1	0	1	0	0
sterb	0	1	0	0	0	1	0	1	0	0
Schüsser	0	1	1	0	0	1	0	1	1	0
räthselhaftesten	0	1	0	0	0	1	0	0	0	0
anzöge	0	0	1	0	0	0	0	0	0	0
faulenn	0	1	1	0	1	1	0	0	0	0
rechtmeßigen	1	0	0	0	0	0	0	0	0	1
Vnschüldig	1	0	0	0	0	0	0	0	0	1
Verderbend	0	1	1	1	1	1	0	1	0	0
aus-arbeitung	1	0	0	0	0	0	0	0	0	0
Mannschaft	0	0	0	0	0	0	0	0	0	1
Gemeinschaft	1	0	0	0	0	0	1	0	0	1
Pflükte	0	1	0	0	0	0	0	0	0	0
traur '	0	1	0	0	0	1	0	1	0	0
Erschlagne	0	1	1	0	0	0	0	0	0	0
enga	0	1	0	0	0	0	0	0	0	0
erleuchtetn	1	0	0	0	0	0	1	0	0	1
Graaf '	1	0	0	0	0	0	0	0	0	0
rechtmeßiger	1	0	0	0	0	0	0	0	0	1
rechtmeßiges	1	0	0	0	0	0	0	0	0	1
müthig	1	0	0	0	0	1	0	0	0	0
nachdencklichem	1	0	0	0	0	0	0	0	0	1
Menschlichs	1	0	0	0	0	0	0	0	0	0
Menschlichr	1	0	0	0	0	0	0	0	0	0
Gerstell	0	1	0	0	0	0	0	1	0	0
trockeneres	0	1	0	0	0	0	0	1	0	0
Ziment	0	0	0	1	0	0	0	0	0	1
entschuldigender	1	0	0	0	0	0	0	0	0	1
verallgemeineren	1	0	0	0	0	0	0	0	0	1
Oberflächliche	0	1	0	0	0	0	0	0	0	0
beruhigen '	1	0	0	0	0	0	1	0	0	1
Buoh	0	1	0	0	0	0	0	0	0	0
Dumps	0	1	1	0	0	0	0	1	0	0
gefündesten	1	0	0	0	0	0	1	0	0	0
Menschliche	1	0	0	0	0	0	0	0	0	0
Landwirthschaften	1	0	0	0	0	0	0	0	0	1
anvertrauend	0	0	0	0	0	0	0	0	0	1
läuffende	0	0	0	1	0	0	0	0	0	0
scharssinnigen	1	0	0	0	0	0	0	0	0	0
schweerst	0	1	1	0	0	1	0	1	0	0
consultieret	0	0	0	0	0	0	0	0	0	1
verschleichet	0	1	0	0	0	0	0	0	0	0
gefühllos	0	1	1	0	1	0	0	0	0	0
Brauts	1	0	0	1	0	0	1	0	0	1
Brautt	1	0	0	1	0	0	1	0	0	1
verreifften	1	0	0	1	0	0	0	0	0	0
männlichern	1	0	0	0	0	0	0	0	0	0
Rivalität	0	1	1	0	0	0	0	0	0	0
hubsch	1	0	0	1	0	0	1	0	0	1
männlichere	1	0	0	0	0	0	0	0	0	0
verschwande	0	1	0	0	0	1	0	1	1	0
phant	0	1	0	0	0	0	0	0	0	0
cataract	0	1	0	1	0	1	0	1	0	0
Frölich	1	0	0	0	0	0	1	0	0	0
intakt	1	0	0	0	0	0	0	0	0	1
HErrren	1	0	0	0	0	0	0	0	0	1
Brauth	1	0	0	1	0	0	1	0	0	1
verschleichen	0	1	0	0	0	0	0	0	0	0
verschwands	0	1	0	0	0	1	0	1	1	0
verschwandt	0	1	0	0	0	1	0	1	1	0
Kn	1	0	0	0	0	0	0	0	0	0
Eyffer es	1	0	0	1	0	0	1	0	1	1
Breutigam	1	0	0	1	0	0	1	0	0	1
Conmunication	0	0	0	0	0	0	0	0	0	1
mühsamb	0	1	0	0	0	0	0	0	0	0
mühsamm	0	1	0	0	0	0	0	0	0	0
absoluts	1	0	0	0	0	0	0	0	0	0
eltste	1	0	0	0	0	0	0	0	0	1
wann	0	1	1	0	0	1	0	1	0	0
hönig	1	0	0	0	0	0	0	0	0	0
sterbet	0	1	0	0	0	1	0	1	0	0
Begrife	1	0	0	0	0	0	0	0	0	0
Katheter	0	1	0	0	0	0	0	0	0	0
Gfehrten	1	0	0	0	0	0	0	0	0	1
sterben	0	1	0	0	0	1	0	1	0	0
allergifftigste	0	1	1	0	1	1	0	1	0	0
Vorrathskammer	1	0	0	0	0	0	0	0	0	0
Jornada	0	1	0	0	0	0	0	0	0	0
fettern	0	1	0	0	1	0	0	1	0	0
Verband	0	1	1	0	1	1	0	1	0	0
weyplichen	1	0	0	0	0	0	0	0	0	0
Zucker	1	0	0	0	0	0	0	0	0	0
engs	0	1	0	0	0	0	0	0	0	0
Zucket	0	1	0	1	1	1	0	1	1	0
wächteren	1	0	0	0	0	1	0	0	0	1
Geheimnüsses	0	0	0	1	0	0	0	0	1	0
Akademiens	1	0	0	0	0	0	0	0	0	0
jammer	0	1	0	0	0	1	0	1	0	0
Eitter	0	1	0	0	1	0	0	0	0	0
Bescheinigung	0	0	0	0	0	0	0	0	0	1
Abendteurliche	1	0	0	0	0	0	0	0	0	0
beredere	1	0	0	0	0	0	0	0	0	0
Mayister	1	0	0	0	0	0	0	0	0	0
vertrits	0	0	1	0	0	0	0	0	0	0
zuverlaessige	1	0	0	0	0	0	0	0	0	1
abstünd	0	1	0	0	0	0	0	0	0	0
Geheimnüssen	0	0	0	1	0	0	0	0	1	0
verdorbener	0	1	1	1	1	1	0	1	0	0
unterhaltsam	1	0	0	1	0	0	1	0	0	0
gier'gen	0	1	0	0	1	0	0	0	0	0
bälger	0	0	1	0	0	0	0	0	0	0
Thiers	0	1	1	0	0	1	0	1	0	0
bundt	0	0	0	1	0	0	0	0	0	0
Batet	0	1	0	0	0	0	0	1	0	0
Reechthum	1	0	0	0	0	0	1	0	0	1
wahnsinnigeres	0	1	1	0	0	1	0	0	0	0
segenen	1	0	0	1	0	0	1	0	0	1
Stiftung	1	0	0	0	0	0	0	0	0	0
glenzenden	1	0	0	1	0	0	1	0	0	0
ächteren	0	1	0	0	0	0	0	0	0	0
wahnsinnigsten	0	1	1	0	0	1	0	0	0	0
festun	1	0	0	1	0	0	1	0	1	0
mayster	1	0	0	0	0	0	0	0	0	0
Scheurn	0	1	0	0	0	0	0	0	0	0
Fussell	0	1	0	0	0	0	0	0	0	0
segenet	1	0	0	1	0	0	1	0	0	1
neigen ;	1	0	0	1	0	0	0	0	0	1
begrüssest	1	0	0	0	0	0	1	0	0	0
ächteres	0	1	0	0	0	0	0	0	0	0
ächterer	0	1	0	0	0	0	0	0	0	0
Lißt	1	1	0	0	0	0	0	0	0	0
ohnauffhörlich	0	1	0	0	0	0	0	0	0	0
persönlich	0	0	0	0	0	0	0	0	0	1
UBerflüßige	0	1	0	0	0	0	0	0	0	0
geuolgen	0	1	1	0	0	0	0	0	0	0
schendlichsten	0	1	1	0	1	0	0	0	0	0
reinern	1	0	0	0	0	0	0	0	0	1
mangelen	0	1	1	0	1	1	0	1	0	0
wört	0	1	1	0	0	0	0	0	0	0
vertheydigten	1	0	0	0	0	0	0	0	0	1
allerunverschämtiste	0	1	0	0	0	0	0	0	0	0
Verdürbe	0	1	1	1	1	1	0	1	0	0
Müßiggenger	0	1	0	0	0	0	0	0	0	0
Rechtsänwälte	1	0	1	0	0	1	0	0	0	1
demuthiglich	1	0	0	0	0	0	0	0	0	0
warr	1	0	0	0	0	0	1	0	0	1
Bankrutt	0	1	0	0	0	1	0	1	0	0
Navigator	0	0	0	1	0	0	0	0	0	1
nachdencklicher	1	0	0	0	0	0	0	0	0	1
Gebürt '	1	0	0	0	0	0	0	0	0	0
niederg '	0	1	0	0	0	0	0	1	0	0
eiligere	0	1	0	1	0	0	0	0	0	0
Nachbarschaft	0	0	0	1	0	0	0	0	0	0
fremdd	0	1	0	0	0	0	0	0	0	0
gier'ger	0	1	0	0	1	0	0	0	0	0
weken	1	0	0	1	0	0	0	0	0	0
fremdi	0	1	0	0	0	0	0	0	0	0
eiligern	0	1	0	1	0	0	0	0	0	0
tauffen	1	0	0	0	0	0	0	0	0	0
Schendliche	0	1	1	0	1	0	0	0	0	0
vnaußlöschlichen	1	0	0	0	0	0	0	0	0	1
empsangenen	1	0	0	0	0	0	0	0	0	0
erlagst	0	1	0	0	0	0	0	0	0	0
Critisiren	0	1	1	0	1	1	0	1	0	0
fremds	0	1	0	0	0	0	0	0	0	0
fremdt	0	1	0	0	0	0	0	0	0	0
Verzeugnissen	0	0	0	0	0	0	0	0	0	1
gewahrnet	0	1	0	1	0	1	0	0	1	1
allianze	0	0	0	0	0	0	0	0	0	1
underschidliche	0	0	0	0	0	0	0	0	1	0
weket	1	0	0	1	0	0	0	0	0	0
Lerlinge	0	0	0	0	0	0	0	0	0	1
uor	0	0	0	1	0	0	0	0	0	0
bädet	0	1	0	0	0	0	0	1	0	0
Bäuch	0	0	0	0	1	0	0	0	0	0
fit	0	1	1	0	0	0	0	0	0	0
bestochne	1	0	0	1	0	0	1	0	1	1
fiz	0	1	1	0	0	0	0	0	0	0
wjr	0	1	0	0	0	0	0	0	0	0
auffgeruffen	0	0	0	1	0	0	0	0	0	0
nehrhafft	1	0	0	0	0	0	0	1	0	0
verhyndert	0	0	0	0	0	1	0	0	0	0
besorengt	0	0	0	0	0	1	0	1	0	0
φέϱει	1	0	0	0	0	0	1	0	0	1
Gfelt	1	0	0	0	0	0	0	0	0	0
Hik	0	1	0	0	0	0	0	0	0	0
fil	0	1	0	0	0	0	0	1	0	0
Brillant	1	0	0	1	0	0	1	0	0	1
eyche	1	0	0	0	0	0	0	0	0	0
vnderdruckte	0	1	1	0	1	1	0	1	0	0
zucket	0	1	0	1	1	1	0	1	1	0
Mollige	0	0	0	1	0	0	0	0	0	0
külstern	0	1	0	0	0	0	0	0	0	0
ankom	0	0	0	1	0	0	0	0	0	0
verstarrest	0	1	0	0	0	0	0	0	0	0
Näcken	0	1	1	1	0	0	0	1	0	0
Paut	1	0	0	0	0	0	0	0	0	0
anzuzihen	0	0	1	0	0	0	0	0	0	0
Cauberth	0	0	0	1	0	0	0	0	1	0
ermüdetest	0	1	0	0	0	0	0	0	0	0
kochts	0	1	0	0	1	0	0	0	0	0
Heuschreck	0	1	0	0	0	1	0	0	0	0
gelegenheite	1	0	0	1	0	0	0	0	0	0
sova	0	0	0	0	0	0	0	1	0	0
Nazionen	0	0	0	0	0	0	0	0	0	1
reichtuhm	1	0	0	0	0	0	1	0	0	1
zucken	0	1	0	1	1	1	0	1	1	0
Tantz '	1	0	0	0	0	0	1	0	0	1
Schubbs	0	1	1	0	0	0	0	0	0	0
Heuraten	1	0	0	1	0	1	1	0	1	1
Cleyers	0	0	0	0	1	0	0	0	0	0
Stending	0	0	0	0	0	0	0	0	0	1
NOht	0	1	1	0	1	1	0	1	1	0
außgestorbnen	0	1	0	0	0	0	0	1	0	0
Verletzen	0	1	1	0	0	1	0	1	0	0
Kolika	0	1	0	0	0	0	0	0	0	0
Cultur ;	1	0	0	0	0	0	0	0	0	0
Kolike	0	1	0	0	0	0	0	0	0	0
rechtmäßigeren	1	0	0	0	0	0	0	0	0	1
Erklehrung	1	0	0	0	0	0	0	0	0	1
Verfall't	0	1	0	0	0	1	0	1	0	0
beloden	0	1	0	0	0	0	0	0	0	0
Unterhaltung	1	0	0	1	0	0	1	0	1	1
Heuratet	1	0	0	1	0	1	1	0	1	1
Jägere	0	1	0	1	0	1	0	1	0	0
gehässigern	0	1	1	0	0	0	0	0	0	0
Geklaget	0	0	0	0	0	0	0	1	0	0
leidenschaftlos	0	1	0	0	0	0	0	1	0	0
rechthaberisch	0	1	1	0	0	0	0	0	0	0
verwirckete	0	1	1	0	0	0	0	1	0	0
vertamme	0	1	0	0	0	0	0	0	0	0
vneren	0	1	1	0	1	1	0	1	0	0
annullirten	0	1	0	0	0	0	0	0	1	0
klösteren	1	0	0	0	0	0	0	0	0	1
conspirieret	0	1	0	0	0	1	0	0	0	0
Ehrsurcht	1	0	0	0	0	0	1	0	0	1
unvolkommene	0	1	0	0	0	0	0	0	0	0
inficiert	0	1	0	0	1	0	0	0	0	0
Delpherin	1	0	0	0	0	0	1	0	1	1
Gichten	0	1	0	0	0	0	0	0	0	0
schwärere	0	1	1	0	0	1	0	1	0	0
enthilte	1	0	0	0	0	0	0	0	0	0
halba	0	1	0	0	0	0	0	0	0	0
critisiere	0	1	1	0	1	1	0	1	0	0
Eccell	0	1	1	0	1	1	0	1	0	0
Satein	1	0	0	0	0	0	0	0	0	0
smire	0	1	0	0	1	0	0	0	0	0
Sprew	0	1	1	0	0	1	0	0	0	0
halbi	0	1	0	0	0	0	0	0	0	0
Spreu	0	1	1	0	0	1	0	0	0	0
halbn	0	1	0	0	0	0	0	0	0	0
halbs	0	1	0	0	0	0	0	0	0	0
menlichen	1	0	0	0	0	0	0	0	0	0
bescheidner	1	1	0	0	1	0	0	1	0	0
überflüssig	0	1	0	0	0	0	0	0	0	0
Comprimiren	0	0	1	0	0	0	0	0	0	0
heimlicheren	0	1	0	1	0	1	0	0	0	1
Undankbahr	0	1	1	0	1	0	0	0	0	0
verterblichem	0	1	1	0	1	1	0	1	0	0
verterblichen	0	1	1	0	1	1	0	1	0	0
Ubler	0	1	1	0	1	1	0	0	0	0
Sjngen	1	0	0	1	0	0	1	1	0	1
klaßificirt	1	0	0	0	0	0	0	0	0	0
lauernder	0	1	0	0	0	0	0	0	0	0
geliebt	0	1	1	0	1	0	0	0	0	0
muntre	1	0	0	1	0	0	1	0	1	0
verfarens	1	0	0	0	0	1	0	0	0	0
Cronick	1	0	0	0	0	0	0	0	0	1
Bähr '	0	0	1	0	0	1	0	0	0	0
gebrechens	0	1	0	0	1	1	0	1	0	0
gebrechent	0	1	1	0	1	1	0	1	0	0
Auswürffe	0	1	0	0	0	0	0	0	0	0
verterbliches	0	1	1	0	1	1	0	1	0	0
beißen	0	1	0	0	0	0	0	1	0	0
geräumigste	1	0	0	0	0	0	0	0	0	0
Geschenek	1	0	0	1	0	0	1	0	1	1
stätigs	0	0	0	0	0	0	0	0	1	1
fürchtte	0	1	0	1	0	1	0	0	0	0
Bewunderns-werthen	1	0	0	0	0	0	1	0	0	1
Bewusztseins	1	0	0	0	0	0	0	0	0	0
Bayonette	0	1	1	0	0	1	0	0	0	0
Facta	1	0	0	0	0	0	0	0	0	1
klaßischer	1	0	0	0	0	0	0	0	0	0
schreklichen	0	1	1	1	1	1	0	1	0	0
schreklichem	0	1	1	1	1	1	0	1	0	0
Saubertu	1	0	0	0	0	0	0	0	0	0
schrekliches	0	1	1	1	1	1	0	1	0	0
Prinzessinenn	1	0	0	0	0	0	0	0	0	0
billg	0	1	0	0	0	0	0	0	0	0
stätige	0	0	0	0	0	0	0	0	1	1
drale	1	0	0	0	0	0	0	0	0	0
eewig	1	0	0	0	0	0	0	0	0	0
Niger	0	1	0	0	0	0	0	0	0	0
ausweichst	0	1	0	0	0	1	0	1	0	0
Krampf	0	1	0	1	0	0	0	0	0	0
verfall'ne	0	1	0	0	0	1	0	1	0	0
Factt	1	0	0	0	0	0	0	0	0	1
wahnen	0	1	1	0	0	1	0	1	0	0
Starcke	1	0	0	0	0	0	0	0	0	0
Ublen	0	1	1	0	1	1	0	0	0	0
leuchtend	1	0	0	1	0	0	1	0	0	1
heilen es	1	0	0	1	0	0	1	0	0	1
entdeck '	1	0	0	0	0	0	0	0	0	0
vermög	1	0	0	1	0	0	1	0	1	1
wahnes	0	1	1	0	0	1	0	1	0	0
wahner	0	1	1	0	0	1	0	1	0	0
verdrängend	0	1	1	0	0	0	0	1	0	0
beschaffete	1	0	0	0	0	0	0	0	0	0
straich	0	1	0	0	0	0	0	0	1	0
LANC	0	0	0	1	0	0	0	0	0	0
hägest	1	0	0	1	0	0	1	0	1	1
euangeliums	1	0	0	0	0	0	0	0	0	1
erfrischenderen	1	0	0	0	0	0	0	0	0	0
Lokvogel	0	0	0	0	0	0	0	0	1	0
Corilla	0	1	0	0	0	0	0	0	0	0
abnutzte	0	1	0	0	0	0	0	1	0	0
Zauberet	0	0	0	1	0	0	0	0	1	0
endtschüldigen	1	0	0	0	0	0	0	1	0	1
Demütiglich	1	0	0	0	0	0	0	0	0	0
außergerichtlich	0	1	0	0	0	1	0	0	0	0
Cualth	0	1	0	0	0	1	0	0	0	0
Capitains	1	0	0	0	0	0	0	0	0	0
Beit'sche	0	1	1	0	0	1	0	0	0	0
Woord '	0	1	1	0	0	0	0	0	0	0
graulichte	0	1	0	0	0	1	0	0	0	0
Lordschaften	1	0	0	0	0	0	0	0	0	0
insaßen	0	1	0	0	1	1	0	0	0	0
Kröhnungen	1	0	0	1	0	0	1	0	1	1
pralen	0	1	0	0	0	0	0	0	0	0
despotischere	0	1	0	0	0	1	0	0	0	0
Heroinnen	0	1	0	0	0	0	0	0	0	0
allerfeigste	0	1	0	0	0	1	0	0	0	0
WOLDERO	0	1	0	0	0	0	0	1	0	0
unbestreitbar	1	0	0	0	0	0	0	0	0	1
einstehlen	0	1	0	0	0	0	0	0	0	0
angemaast	0	1	1	0	0	0	0	0	0	0
Löhna	1	0	0	0	0	0	1	0	0	0
unghorsamen	0	1	1	0	0	0	0	0	0	0
kämpffers	0	1	1	0	0	1	0	0	0	0
Vatter ;	0	0	0	0	0	0	0	0	0	1
vergleitete	1	0	0	1	0	0	1	0	0	0
cultiviert	1	0	0	0	0	0	0	0	0	0
pralet	0	1	0	0	0	0	0	0	0	0
Schmiehre	0	1	0	0	1	0	0	0	0	0
verdräeten	0	0	0	1	0	0	0	0	0	0
Schichet	1	0	0	0	0	0	0	0	0	0
Ausgestorbne	0	1	0	0	0	0	0	1	0	0
Vornembste	1	0	0	0	0	0	0	0	0	0
hysterisch	0	1	1	0	0	1	0	0	0	0
ahmen	1	0	0	0	0	0	1	0	0	1
Schnider	0	1	0	0	0	1	0	0	0	0
Zett	0	0	0	1	0	0	0	0	0	0
Verräth '	0	1	1	0	1	0	0	1	1	0
idle	1	0	0	0	0	0	0	0	0	1
erfäret	1	0	0	0	0	0	0	0	0	1
credita ;	1	0	0	0	0	0	0	0	0	1
Bässer	1	0	0	1	0	0	1	0	1	1
höffliches	1	0	0	0	0	0	0	0	0	0
umbzukommen	0	1	0	0	0	0	0	1	0	0
beissest	0	1	0	0	0	0	0	0	0	0
Eerlich	1	0	1	0	1	1	1	1	0	1
schwol	0	1	0	0	0	0	0	0	0	0
interssante	1	0	0	0	0	0	0	0	0	0
Rückerstattung	1	0	0	0	0	0	0	0	0	1
fewrichen	1	0	0	1	0	0	1	0	0	0
Thorheit	0	1	0	0	0	0	0	0	0	0
Hämmorrhoiden	0	1	0	0	0	0	0	0	0	0
Eyserns	1	0	0	0	0	0	0	0	0	1
unters	0	1	0	0	0	0	0	1	0	0
Vortheil '	1	0	0	0	0	0	0	0	0	0
Eingedenck	1	0	0	0	0	0	0	0	0	0
Bissen	0	1	0	0	0	0	0	0	0	0
verhunden	0	0	0	0	0	0	0	0	0	1
zusaze	1	0	0	0	0	0	0	0	0	0
allerbeschwerlichste	0	1	0	0	0	1	0	1	0	0
ausgezerrt	0	1	0	0	0	0	0	1	0	0
Prüfung	0	1	0	0	0	1	0	0	1	0
würksame	1	0	0	0	0	0	0	0	0	1
Stochel	0	1	1	0	0	1	0	0	0	0
schlammigten	0	1	0	0	1	0	0	0	0	0
hymel	1	0	0	0	0	0	1	0	0	1
nutzlicher	1	0	0	0	0	0	0	0	0	0
Worteen	0	1	1	0	0	0	0	0	0	0
heßlichkeit	0	1	0	0	1	1	0	1	0	0
sumpfficht	0	1	0	0	1	1	0	0	0	0
auspostet	0	1	0	0	0	0	0	0	0	0
erregbareren	1	0	0	0	0	0	0	0	0	0
kotzete	0	0	0	0	1	0	0	0	0	0
Kätzer	0	1	0	0	1	0	0	0	0	0
nutzlichem	1	0	0	0	0	0	0	0	0	0
